year,indicator,num_countries,rel_count,_indicator
1998,1.4.1,0.0,193,01_04_01
1999,1.4.1,0.0,193,01_04_01
2000,1.4.1,187.0,193,01_04_01
2001,1.4.1,189.0,193,01_04_01
2002,1.4.1,190.0,193,01_04_01
2003,1.4.1,190.0,193,01_04_01
2004,1.4.1,190.0,193,01_04_01
2005,1.4.1,190.0,193,01_04_01
2006,1.4.1,191.0,193,01_04_01
2007,1.4.1,191.0,193,01_04_01
2008,1.4.1,191.0,193,01_04_01
2009,1.4.1,191.0,193,01_04_01
2010,1.4.1,191.0,193,01_04_01
2011,1.4.1,192.0,193,01_04_01
2012,1.4.1,192.0,193,01_04_01
2013,1.4.1,192.0,193,01_04_01
2014,1.4.1,191.0,193,01_04_01
2015,1.4.1,191.0,193,01_04_01
2016,1.4.1,190.0,193,01_04_01
2017,1.4.1,188.0,193,01_04_01
2018,1.4.1,0.0,193,01_04_01
2019,1.4.1,0.0,193,01_04_01
2020,1.4.1,0.0,193,01_04_01
1990,1.4.2,0.0,193,01_04_02
1991,1.4.2,0.0,193,01_04_02
1992,1.4.2,0.0,193,01_04_02
1993,1.4.2,0.0,193,01_04_02
1994,1.4.2,0.0,193,01_04_02
1995,1.4.2,0.0,193,01_04_02
1996,1.4.2,0.0,193,01_04_02
1997,1.4.2,0.0,193,01_04_02
1998,1.4.2,0.0,193,01_04_02
1999,1.4.2,0.0,193,01_04_02
2000,1.4.2,0.0,193,01_04_02
2001,1.4.2,0.0,193,01_04_02
2002,1.4.2,0.0,193,01_04_02
2003,1.4.2,0.0,193,01_04_02
2004,1.4.2,0.0,193,01_04_02
2005,1.4.2,0.0,193,01_04_02
2006,1.4.2,0.0,193,01_04_02
2007,1.4.2,0.0,193,01_04_02
2008,1.4.2,0.0,193,01_04_02
2009,1.4.2,0.0,193,01_04_02
2010,1.4.2,0.0,193,01_04_02
2011,1.4.2,0.0,193,01_04_02
2012,1.4.2,0.0,193,01_04_02
2013,1.4.2,0.0,193,01_04_02
2014,1.4.2,0.0,193,01_04_02
2015,1.4.2,0.0,193,01_04_02
2016,1.4.2,0.0,193,01_04_02
2017,1.4.2,0.0,193,01_04_02
2018,1.4.2,0.0,193,01_04_02
2019,1.4.2,0.0,193,01_04_02
2020,1.4.2,0.0,193,01_04_02
1990,1.5.1,0.0,193,01_05_01
1991,1.5.1,0.0,193,01_05_01
1992,1.5.1,0.0,193,01_05_01
1993,1.5.1,0.0,193,01_05_01
1994,1.5.1,0.0,193,01_05_01
1995,1.5.1,0.0,193,01_05_01
1996,1.5.1,0.0,193,01_05_01
1997,1.5.1,0.0,193,01_05_01
1998,1.5.1,0.0,193,01_05_01
1999,1.5.1,0.0,193,01_05_01
2000,1.5.1,0.0,193,01_05_01
2001,1.5.1,0.0,193,01_05_01
2002,1.5.1,0.0,193,01_05_01
2003,1.5.1,0.0,193,01_05_01
2004,1.5.1,0.0,193,01_05_01
2005,1.5.1,91.0,193,01_05_01
2006,1.5.1,96.0,193,01_05_01
2007,1.5.1,101.0,193,01_05_01
2008,1.5.1,103.0,193,01_05_01
2009,1.5.1,106.0,193,01_05_01
2010,1.5.1,107.0,193,01_05_01
2011,1.5.1,108.0,193,01_05_01
2012,1.5.1,104.0,193,01_05_01
2013,1.5.1,100.0,193,01_05_01
2014,1.5.1,100.0,193,01_05_01
2015,1.5.1,100.0,193,01_05_01
2016,1.5.1,94.0,193,01_05_01
2017,1.5.1,95.0,193,01_05_01
2018,1.5.1,82.0,193,01_05_01
2019,1.5.1,45.0,193,01_05_01
2020,1.5.1,0.0,193,01_05_01
1990,1.5.2,0.0,193,01_05_02
1991,1.5.2,0.0,193,01_05_02
1992,1.5.2,0.0,193,01_05_02
1993,1.5.2,0.0,193,01_05_02
1994,1.5.2,0.0,193,01_05_02
1995,1.5.2,0.0,193,01_05_02
1996,1.5.2,0.0,193,01_05_02
1997,1.5.2,0.0,193,01_05_02
1998,1.5.2,0.0,193,01_05_02
1999,1.5.2,0.0,193,01_05_02
2000,1.5.2,0.0,193,01_05_02
2001,1.5.2,0.0,193,01_05_02
2002,1.5.2,0.0,193,01_05_02
2003,1.5.2,0.0,193,01_05_02
2004,1.5.2,0.0,193,01_05_02
2005,1.5.2,70.0,193,01_05_02
2006,1.5.2,78.0,193,01_05_02
2007,1.5.2,84.0,193,01_05_02
2008,1.5.2,88.0,193,01_05_02
2009,1.5.2,90.0,193,01_05_02
2010,1.5.2,89.0,193,01_05_02
2011,1.5.2,88.0,193,01_05_02
2012,1.5.2,84.0,193,01_05_02
2013,1.5.2,82.0,193,01_05_02
2014,1.5.2,78.0,193,01_05_02
2015,1.5.2,77.0,193,01_05_02
2016,1.5.2,77.0,193,01_05_02
2017,1.5.2,78.0,193,01_05_02
2018,1.5.2,64.0,193,01_05_02
2019,1.5.2,33.0,193,01_05_02
2020,1.5.2,0.0,193,01_05_02
1990,1.5.3,0.0,193,01_05_03
1991,1.5.3,0.0,193,01_05_03
1992,1.5.3,0.0,193,01_05_03
1993,1.5.3,0.0,193,01_05_03
1994,1.5.3,0.0,193,01_05_03
1995,1.5.3,0.0,193,01_05_03
1996,1.5.3,0.0,193,01_05_03
1997,1.5.3,0.0,193,01_05_03
1998,1.5.3,0.0,193,01_05_03
1999,1.5.3,0.0,193,01_05_03
2000,1.5.3,0.0,193,01_05_03
2001,1.5.3,0.0,193,01_05_03
2002,1.5.3,0.0,193,01_05_03
2003,1.5.3,0.0,193,01_05_03
2004,1.5.3,0.0,193,01_05_03
2005,1.5.3,0.0,193,01_05_03
2006,1.5.3,0.0,193,01_05_03
2007,1.5.3,0.0,193,01_05_03
2008,1.5.3,0.0,193,01_05_03
2009,1.5.3,0.0,193,01_05_03
2010,1.5.3,0.0,193,01_05_03
2011,1.5.3,0.0,193,01_05_03
2012,1.5.3,0.0,193,01_05_03
2013,1.5.3,0.0,193,01_05_03
2014,1.5.3,0.0,193,01_05_03
2015,1.5.3,42.0,193,01_05_03
2016,1.5.3,49.0,193,01_05_03
2017,1.5.3,73.0,193,01_05_03
2018,1.5.3,72.0,193,01_05_03
2019,1.5.3,32.0,193,01_05_03
2020,1.5.3,0.0,193,01_05_03
1990,1.5.4,0.0,193,01_05_04
1991,1.5.4,0.0,193,01_05_04
1992,1.5.4,0.0,193,01_05_04
1993,1.5.4,0.0,193,01_05_04
1994,1.5.4,0.0,193,01_05_04
1995,1.5.4,0.0,193,01_05_04
1996,1.5.4,0.0,193,01_05_04
1997,1.5.4,0.0,193,01_05_04
1998,1.5.4,0.0,193,01_05_04
1999,1.5.4,0.0,193,01_05_04
2000,1.5.4,0.0,193,01_05_04
2001,1.5.4,0.0,193,01_05_04
2002,1.5.4,0.0,193,01_05_04
2003,1.5.4,0.0,193,01_05_04
2004,1.5.4,0.0,193,01_05_04
2005,1.5.4,0.0,193,01_05_04
2006,1.5.4,0.0,193,01_05_04
2007,1.5.4,0.0,193,01_05_04
2008,1.5.4,0.0,193,01_05_04
2009,1.5.4,0.0,193,01_05_04
2010,1.5.4,0.0,193,01_05_04
2011,1.5.4,0.0,193,01_05_04
2012,1.5.4,0.0,193,01_05_04
2013,1.5.4,0.0,193,01_05_04
2014,1.5.4,0.0,193,01_05_04
2015,1.5.4,45.0,193,01_05_04
2016,1.5.4,51.0,193,01_05_04
2017,1.5.4,74.0,193,01_05_04
2018,1.5.4,69.0,193,01_05_04
2019,1.5.4,28.0,193,01_05_04
2020,1.5.4,0.0,193,01_05_04
1990,1.a.1,0.0,193,01_0a_01
1991,1.a.1,0.0,193,01_0a_01
1992,1.a.1,0.0,193,01_0a_01
1993,1.a.1,0.0,193,01_0a_01
1994,1.a.1,0.0,193,01_0a_01
1995,1.a.1,0.0,193,01_0a_01
1996,1.a.1,0.0,193,01_0a_01
1997,1.a.1,0.0,193,01_0a_01
1998,1.a.1,0.0,193,01_0a_01
1999,1.a.1,0.0,193,01_0a_01
2000,1.a.1,0.0,193,01_0a_01
2001,1.a.1,0.0,193,01_0a_01
2002,1.a.1,0.0,193,01_0a_01
2003,1.a.1,0.0,193,01_0a_01
2004,1.a.1,0.0,193,01_0a_01
2005,1.a.1,0.0,193,01_0a_01
2006,1.a.1,0.0,193,01_0a_01
2007,1.a.1,0.0,193,01_0a_01
2008,1.a.1,0.0,193,01_0a_01
2009,1.a.1,0.0,193,01_0a_01
2010,1.a.1,0.0,193,01_0a_01
2011,1.a.1,0.0,193,01_0a_01
2012,1.a.1,0.0,193,01_0a_01
2013,1.a.1,0.0,193,01_0a_01
2014,1.a.1,0.0,193,01_0a_01
2015,1.a.1,0.0,193,01_0a_01
2016,1.a.1,0.0,193,01_0a_01
2017,1.a.1,0.0,193,01_0a_01
2018,1.a.1,0.0,193,01_0a_01
2019,1.a.1,0.0,193,01_0a_01
2020,1.a.1,0.0,193,01_0a_01
1990,1.a.2,0.0,193,01_0a_02
1991,1.a.2,0.0,193,01_0a_02
1992,1.a.2,0.0,193,01_0a_02
1993,1.a.2,0.0,193,01_0a_02
1994,1.a.2,0.0,193,01_0a_02
1995,1.a.2,0.0,193,01_0a_02
1996,1.a.2,0.0,193,01_0a_02
1997,1.a.2,0.0,193,01_0a_02
1998,1.a.2,0.0,193,01_0a_02
1999,1.a.2,0.0,193,01_0a_02
2000,1.a.2,109.0,193,01_0a_02
2001,1.a.2,121.0,193,01_0a_02
2002,1.a.2,132.0,193,01_0a_02
2003,1.a.2,133.0,193,01_0a_02
2004,1.a.2,135.0,193,01_0a_02
2005,1.a.2,138.0,193,01_0a_02
2006,1.a.2,140.0,193,01_0a_02
2007,1.a.2,139.0,193,01_0a_02
2008,1.a.2,143.0,193,01_0a_02
2009,1.a.2,140.0,193,01_0a_02
2010,1.a.2,140.0,193,01_0a_02
2011,1.a.2,140.0,193,01_0a_02
2012,1.a.2,138.0,193,01_0a_02
2013,1.a.2,141.0,193,01_0a_02
2014,1.a.2,133.0,193,01_0a_02
2015,1.a.2,129.0,193,01_0a_02
2016,1.a.2,117.0,193,01_0a_02
2017,1.a.2,82.0,193,01_0a_02
2018,1.a.2,57.0,193,01_0a_02
2019,1.a.2,1.0,193,01_0a_02
2020,1.a.2,0.0,193,01_0a_02
1990,1.b.1,0.0,193,01_0b_01
1991,1.b.1,0.0,193,01_0b_01
1992,1.b.1,0.0,193,01_0b_01
1993,1.b.1,0.0,193,01_0b_01
1994,1.b.1,0.0,193,01_0b_01
1995,1.b.1,0.0,193,01_0b_01
1996,1.b.1,0.0,193,01_0b_01
1997,1.b.1,0.0,193,01_0b_01
1998,1.b.1,0.0,193,01_0b_01
1999,1.b.1,0.0,193,01_0b_01
2000,1.b.1,0.0,193,01_0b_01
2001,1.b.1,0.0,193,01_0b_01
2002,1.b.1,0.0,193,01_0b_01
2003,1.b.1,0.0,193,01_0b_01
2004,1.b.1,0.0,193,01_0b_01
2005,1.b.1,0.0,193,01_0b_01
2006,1.b.1,0.0,193,01_0b_01
2007,1.b.1,0.0,193,01_0b_01
2008,1.b.1,0.0,193,01_0b_01
2009,1.b.1,0.0,193,01_0b_01
2010,1.b.1,0.0,193,01_0b_01
2011,1.b.1,0.0,193,01_0b_01
2012,1.b.1,0.0,193,01_0b_01
2013,1.b.1,0.0,193,01_0b_01
2014,1.b.1,0.0,193,01_0b_01
2015,1.b.1,0.0,193,01_0b_01
2016,1.b.1,0.0,193,01_0b_01
2017,1.b.1,0.0,193,01_0b_01
2018,1.b.1,0.0,193,01_0b_01
2019,1.b.1,0.0,193,01_0b_01
2020,1.b.1,0.0,193,01_0b_01
1990,2.1.1,0.0,193,02_01_01
1991,2.1.1,0.0,193,02_01_01
1992,2.1.1,0.0,193,02_01_01
1993,2.1.1,0.0,193,02_01_01
1994,2.1.1,0.0,193,02_01_01
1995,2.1.1,0.0,193,02_01_01
1996,2.1.1,0.0,193,02_01_01
1997,2.1.1,0.0,193,02_01_01
1998,2.1.1,0.0,193,02_01_01
1999,2.1.1,0.0,193,02_01_01
2000,2.1.1,0.0,193,02_01_01
2001,2.1.1,150.0,193,02_01_01
2002,2.1.1,150.0,193,02_01_01
2003,2.1.1,150.0,193,02_01_01
2004,2.1.1,150.0,193,02_01_01
2005,2.1.1,150.0,193,02_01_01
2006,2.1.1,150.0,193,02_01_01
2007,2.1.1,150.0,193,02_01_01
2008,2.1.1,150.0,193,02_01_01
2009,2.1.1,150.0,193,02_01_01
2010,2.1.1,150.0,193,02_01_01
2011,2.1.1,150.0,193,02_01_01
2012,2.1.1,149.0,193,02_01_01
2013,2.1.1,149.0,193,02_01_01
2014,2.1.1,149.0,193,02_01_01
2015,2.1.1,149.0,193,02_01_01
2016,2.1.1,149.0,193,02_01_01
2017,2.1.1,149.0,193,02_01_01
2018,2.1.1,149.0,193,02_01_01
2019,2.1.1,0.0,193,02_01_01
2020,2.1.1,0.0,193,02_01_01
1990,2.1.2,0.0,193,02_01_02
1991,2.1.2,0.0,193,02_01_02
1992,2.1.2,0.0,193,02_01_02
1993,2.1.2,0.0,193,02_01_02
1994,2.1.2,0.0,193,02_01_02
1995,2.1.2,0.0,193,02_01_02
1996,2.1.2,0.0,193,02_01_02
1997,2.1.2,0.0,193,02_01_02
1998,2.1.2,0.0,193,02_01_02
1999,2.1.2,0.0,193,02_01_02
2000,2.1.2,0.0,193,02_01_02
2001,2.1.2,0.0,193,02_01_02
2002,2.1.2,0.0,193,02_01_02
2003,2.1.2,0.0,193,02_01_02
2004,2.1.2,0.0,193,02_01_02
2005,2.1.2,0.0,193,02_01_02
2006,2.1.2,0.0,193,02_01_02
2007,2.1.2,0.0,193,02_01_02
2008,2.1.2,0.0,193,02_01_02
2009,2.1.2,0.0,193,02_01_02
2010,2.1.2,0.0,193,02_01_02
2011,2.1.2,0.0,193,02_01_02
2012,2.1.2,0.0,193,02_01_02
2013,2.1.2,0.0,193,02_01_02
2014,2.1.2,0.0,193,02_01_02
2015,2.1.2,105.0,193,02_01_02
2016,2.1.2,105.0,193,02_01_02
2017,2.1.2,106.0,193,02_01_02
2018,2.1.2,105.0,193,02_01_02
2019,2.1.2,0.0,193,02_01_02
2020,2.1.2,0.0,193,02_01_02
1990,2.2.1,0.0,193,02_02_01
1991,2.2.1,0.0,193,02_02_01
1992,2.2.1,0.0,193,02_02_01
1993,2.2.1,0.0,193,02_02_01
1994,2.2.1,0.0,193,02_02_01
1995,2.2.1,0.0,193,02_02_01
1996,2.2.1,0.0,193,02_02_01
1997,2.2.1,0.0,193,02_02_01
1998,2.2.1,0.0,193,02_02_01
1999,2.2.1,0.0,193,02_02_01
2000,2.2.1,59.0,193,02_02_01
2001,2.2.1,69.0,193,02_02_01
2002,2.2.1,75.0,193,02_02_01
2003,2.2.1,84.0,193,02_02_01
2004,2.2.1,96.0,193,02_02_01
2005,2.2.1,107.0,193,02_02_01
2006,2.2.1,115.0,193,02_02_01
2007,2.2.1,123.0,193,02_02_01
2008,2.2.1,120.0,193,02_02_01
2009,2.2.1,121.0,193,02_02_01
2010,2.2.1,117.0,193,02_02_01
2011,2.2.1,109.0,193,02_02_01
2012,2.2.1,108.0,193,02_02_01
2013,2.2.1,95.0,193,02_02_01
2014,2.2.1,87.0,193,02_02_01
2015,2.2.1,70.0,193,02_02_01
2016,2.2.1,61.0,193,02_02_01
2017,2.2.1,46.0,193,02_02_01
2018,2.2.1,32.0,193,02_02_01
2019,2.2.1,6.0,193,02_02_01
2020,2.2.1,0.0,193,02_02_01
1990,2.2.2,0.0,193,02_02_02
1991,2.2.2,0.0,193,02_02_02
1992,2.2.2,0.0,193,02_02_02
1993,2.2.2,0.0,193,02_02_02
1994,2.2.2,0.0,193,02_02_02
1995,2.2.2,0.0,193,02_02_02
1996,2.2.2,0.0,193,02_02_02
1997,2.2.2,0.0,193,02_02_02
1998,2.2.2,0.0,193,02_02_02
1999,2.2.2,0.0,193,02_02_02
2000,2.2.2,58.0,193,02_02_02
2001,2.2.2,68.0,193,02_02_02
2002,2.2.2,74.0,193,02_02_02
2003,2.2.2,84.0,193,02_02_02
2004,2.2.2,97.0,193,02_02_02
2005,2.2.2,107.0,193,02_02_02
2006,2.2.2,114.0,193,02_02_02
2007,2.2.2,122.0,193,02_02_02
2008,2.2.2,120.0,193,02_02_02
2009,2.2.2,120.0,193,02_02_02
2010,2.2.2,116.0,193,02_02_02
2011,2.2.2,108.0,193,02_02_02
2012,2.2.2,107.0,193,02_02_02
2013,2.2.2,94.0,193,02_02_02
2014,2.2.2,86.0,193,02_02_02
2015,2.2.2,71.0,193,02_02_02
2016,2.2.2,62.0,193,02_02_02
2017,2.2.2,47.0,193,02_02_02
2018,2.2.2,32.0,193,02_02_02
2019,2.2.2,6.0,193,02_02_02
2020,2.2.2,0.0,193,02_02_02
1990,2.2.3,0.0,193,02_02_03
1991,2.2.3,0.0,193,02_02_03
1992,2.2.3,0.0,193,02_02_03
1993,2.2.3,0.0,193,02_02_03
1994,2.2.3,0.0,193,02_02_03
1995,2.2.3,0.0,193,02_02_03
1996,2.2.3,0.0,193,02_02_03
1997,2.2.3,0.0,193,02_02_03
1998,2.2.3,0.0,193,02_02_03
1999,2.2.3,0.0,193,02_02_03
2000,2.2.3,0.0,193,02_02_03
2001,2.2.3,0.0,193,02_02_03
2002,2.2.3,0.0,193,02_02_03
2003,2.2.3,0.0,193,02_02_03
2004,2.2.3,0.0,193,02_02_03
2005,2.2.3,0.0,193,02_02_03
2006,2.2.3,0.0,193,02_02_03
2007,2.2.3,0.0,193,02_02_03
2008,2.2.3,0.0,193,02_02_03
2009,2.2.3,0.0,193,02_02_03
2010,2.2.3,0.0,193,02_02_03
2011,2.2.3,0.0,193,02_02_03
2012,2.2.3,0.0,193,02_02_03
2013,2.2.3,0.0,193,02_02_03
2014,2.2.3,0.0,193,02_02_03
2015,2.2.3,0.0,193,02_02_03
2016,2.2.3,0.0,193,02_02_03
2017,2.2.3,0.0,193,02_02_03
2018,2.2.3,0.0,193,02_02_03
2019,2.2.3,0.0,193,02_02_03
2020,2.2.3,0.0,193,02_02_03
1990,2.3.1,0.0,193,02_03_01
1991,2.3.1,0.0,193,02_03_01
1992,2.3.1,0.0,193,02_03_01
1993,2.3.1,0.0,193,02_03_01
1994,2.3.1,0.0,193,02_03_01
1995,2.3.1,0.0,193,02_03_01
1996,2.3.1,0.0,193,02_03_01
1997,2.3.1,0.0,193,02_03_01
1998,2.3.1,0.0,193,02_03_01
1999,2.3.1,0.0,193,02_03_01
2000,2.3.1,0.0,193,02_03_01
2001,2.3.1,0.0,193,02_03_01
2002,2.3.1,0.0,193,02_03_01
2003,2.3.1,0.0,193,02_03_01
2004,2.3.1,0.0,193,02_03_01
2005,2.3.1,1.0,193,02_03_01
2006,2.3.1,1.0,193,02_03_01
2007,2.3.1,1.0,193,02_03_01
2008,2.3.1,2.0,193,02_03_01
2009,2.3.1,2.0,193,02_03_01
2010,2.3.1,2.0,193,02_03_01
2011,2.3.1,5.0,193,02_03_01
2012,2.3.1,5.0,193,02_03_01
2013,2.3.1,6.0,193,02_03_01
2014,2.3.1,5.0,193,02_03_01
2015,2.3.1,2.0,193,02_03_01
2016,2.3.1,2.0,193,02_03_01
2017,2.3.1,0.0,193,02_03_01
2018,2.3.1,0.0,193,02_03_01
2019,2.3.1,0.0,193,02_03_01
2020,2.3.1,0.0,193,02_03_01
1990,2.3.2,0.0,193,02_03_02
1991,2.3.2,0.0,193,02_03_02
1992,2.3.2,0.0,193,02_03_02
1993,2.3.2,0.0,193,02_03_02
1994,2.3.2,0.0,193,02_03_02
1995,2.3.2,0.0,193,02_03_02
1996,2.3.2,0.0,193,02_03_02
1997,2.3.2,0.0,193,02_03_02
1998,2.3.2,0.0,193,02_03_02
1999,2.3.2,0.0,193,02_03_02
2000,2.3.2,0.0,193,02_03_02
2001,2.3.2,0.0,193,02_03_02
2002,2.3.2,0.0,193,02_03_02
2003,2.3.2,0.0,193,02_03_02
2004,2.3.2,1.0,193,02_03_02
2005,2.3.2,4.0,193,02_03_02
2006,2.3.2,3.0,193,02_03_02
2007,2.3.2,7.0,193,02_03_02
2008,2.3.2,6.0,193,02_03_02
2009,2.3.2,8.0,193,02_03_02
2010,2.3.2,10.0,193,02_03_02
2011,2.3.2,13.0,193,02_03_02
2012,2.3.2,10.0,193,02_03_02
2013,2.3.2,14.0,193,02_03_02
2014,2.3.2,14.0,193,02_03_02
2015,2.3.2,4.0,193,02_03_02
2016,2.3.2,2.0,193,02_03_02
2017,2.3.2,0.0,193,02_03_02
2018,2.3.2,0.0,193,02_03_02
2019,2.3.2,0.0,193,02_03_02
2020,2.3.2,0.0,193,02_03_02
1990,2.4.1,0.0,193,02_04_01
1991,2.4.1,0.0,193,02_04_01
1992,2.4.1,0.0,193,02_04_01
1993,2.4.1,0.0,193,02_04_01
1994,2.4.1,0.0,193,02_04_01
1995,2.4.1,0.0,193,02_04_01
1996,2.4.1,0.0,193,02_04_01
1997,2.4.1,0.0,193,02_04_01
1998,2.4.1,0.0,193,02_04_01
1999,2.4.1,0.0,193,02_04_01
2000,2.4.1,0.0,193,02_04_01
